customer_id,first_name,last_name,username,email,gender,birthdate,device_type,device_id,device_version,home_location_lat,home_location_long,home_location,home_country,first_join_date
93759,Jinawi,Hakim,cffc89ca-db58-4361-94d5-c153bda400bc,cffc89ca_db58_4361_94d5_c153bda400bc@startupcampus.id,M,1998-04-11,Android,57192612-65b7-4b91-b8cf-792cbba66d9b,Android 9,-7.483247789941248,109.17643143117044,Jawa Tengah,Indonesia,2020-07-12
59934,Luis,Hakim,846414bb-2d63-41dc-8f11-d20ae4a2d4cc,846414bb_2d63_41dc_8f11_d20ae4a2d4cc@startupcampus.id,M,1998-04-09,Android,4ba9ffbb-d168-4bef-b899-50265aea58e2,Android 9,-6.8573540920008744,106.46032387562163,Jawa Barat,Indonesia,2018-05-09
76805,Sakti,Hakim,0c914b04-8778-419e-abca-e1443b59b00b,0c914b04_8778_419e_abca_e1443b59b00b@startupcampus.id,M,2001-05-31,Android,da0e93c5-9792-49f3-b06d-d91bfc1a6387,Android 9,-5.5978870723478984,105.10566126307693,Lampung,Indonesia,2020-03-14
95135,Caraka,Hakim,31a3441f-5e86-410f-b566-28b226cd317e,31a3441f_5e86_410f_b566_28b226cd317e@zakyfoundation.org,M,2003-07-11,Android,793dfac5-f471-45fd-bb2b-8f53e4e2ab7c,Android 9,4.7284785252198471,107.9802181776456,Kepulauan Riau,Indonesia,2018-03-02
12598,Saiful,Hakim,fdbc8b71-ad88-46e0-8e46-f35326e55a4a,fdbc8b71_ad88_46e0_8e46_f35326e55a4a@startupcampus.id,M,1999-06-26,Android,92b44c7d-aad5-4511-9362-73a77f7207f6,Android 9,-2.2783154697501811,111.51297997849372,Kalimantan Tengah,Indonesia,2021-09-04
81633,Hartana,Hakim,6f3dc853-2c0b-43af-bb87-0e77a6249a32,6f3dc853_2c0b_43af_bb87_0e77a6249a32@startupcampus.id,M,2000-01-28,Android,14df54e2-c6c4-441a-91c6-5e2dcad4e7b7,Android 9,-6.9327007984226112,113.87397245786977,Jawa Timur,Indonesia,2020-03-08
59943,Candrakanta,Hakim,57a4431b-d45c-451b-8494-af38fddf93d0,57a4431b_d45c_451b_8494_af38fddf93d0@startupcampus.id,M,1999-06-25,Android,89200a28-79da-4c96-b5f7-80d6636b3130,Android 9,-8.2888892612639573,112.2175332956682,Jawa Timur,Indonesia,2022-01-22
28814,Najib,Halim,d2dba68c-a841-4d6d-b581-727d68bf5dc0,d2dba68c_a841_4d6d_b581_727d68bf5dc0@startupcampus.id,M,1988-12-05,Android,e2a97fdf-c19d-480f-a9ce-ef20d83eb5f8,Android 9,-6.6814279583027991,106.79623268021372,Jawa Barat,Indonesia,2018-06-03
22234,Tasnim,Halim,09cdd958-53d0-49e1-8d55-78a26d8550b1,09cdd958_53d0_49e1_8d55_78a26d8550b1@startupcampus.id,M,1997-07-01,Android,223f5da3-a833-4a6e-8ff3-1efdc0301de8,Android 9,-1.8365741717805069,111.39896930643869,Kalimantan Tengah,Indonesia,2021-06-13
94241,Endra,Putra,f6f003d2-d7a0-46d9-8971-f4d5b53b9b82,f6f003d2_d7a0_46d9_8971_f4d5b53b9b82@startupcampus.id,M,2000-02-11,Android,5f468679-ee3c-49db-887f-9d3b51073cfd,Android 9,-7.3243619298497249,108.83052110462994,Jawa Tengah,Indonesia,2021-01-23
50331,Harsaya,Putra,a246456c-b33a-4897-a452-8ef15c1bace8,a246456c_b33a_4897_a452_8ef15c1bace8@startupcampus.id,M,1999-02-14,Android,430d7e67-1411-44b7-a026-2b7fdd663495,Android 9,-6.117110398067747,106.86638919851084,Jakarta Raya,Indonesia,2018-07-27
94449,Among,Putra,3dcd3832-d383-4334-b54b-7f7fa137badd,3dcd3832_d383_4334_b54b_7f7fa137badd@startupcampus.id,M,1986-05-12,Android,e3fd972a-f08c-4cdc-9352-1d368929ed92,Android 9,-9.8896203790497434,120.36953023710373,Nusa Tenggara Timur,Indonesia,2018-08-25
92468,Hartana,Putra,efdd770b-e474-45ac-b757-ee9c43e98347,efdd770b_e474_45ac_b757_ee9c43e98347@startupcampus.id,M,1994-06-07,Android,3113ea1b-0f9b-46fc-b3a4-f3a7d8ecde45,Android 9,-3.5920833128551131,114.75061663436598,Kalimantan Selatan,Indonesia,2020-08-08
83908,Darman,Putra,31434a92-d67b-4d88-b3b6-b12564db5e0f,31434a92_d67b_4d88_b3b6_b12564db5e0f@startupcampus.id,M,1960-11-29,Android,56f4eb6e-e206-42fb-b4c6-19b8318c343b,Android 9,1.3849416922357065,116.32581646286775,Kalimantan Timur,Indonesia,2019-06-29
13986,Lurhur,Tamba,6c9b7b80-e62a-4c36-826e-8743650bbf46,6c9b7b80_e62a_4c36_826e_8743650bbf46@startupcampus.id,M,2001-04-30,Android,9aba4399-f89b-4d49-b959-28ad498a269f,Android 9,-8.500479779933567,115.47232183170981,Bali,Indonesia,2022-04-08
5986,Putu,Tamba,d8037733-cf88-4bfb-9ce7-20b5a2a263c4,d8037733_cf88_4bfb_9ce7_20b5a2a263c4@startupcampus.id,M,1995-05-22,Android,1cd880cd-404f-43c1-b90a-1b4ab84dc2f1,Android 9,-6.3394218771693831,106.91087706968126,Jakarta Raya,Indonesia,2021-06-13
